label,review,compound,scores,comp_score
neg,shape  going  ordered  squeem  three  different  occasions  trying  large  medium  small  size  changed  twins  unfortunately  disapointed  every  time  returned  trying  know  kept  trying  aside  desperation  gave  weird  shape  sure  cinched  waist  sides  needed  flatten  muffin  top  basically  felt  squeezed  waist  pushed  excess  lower  half  torso  making  muffin  top  even  worse  I  giving  product  benefit  doubt  two  stars  thinking  maybe  body  type  problem  long  torso  510  140lbs  great  product  concept  work,-0.296,"{'neg': 0.196, 'neu': 0.633, 'pos': 0.171, 'compound': -0.296}",the review is negative
neg,bones  product  suck  great  bones  tore  back  back  kinds  bruising  took  wearing  day  need  make  one  smooth  bones,0.296,"{'neg': 0.126, 'neu': 0.696, 'pos': 0.178, 'compound': 0.296}",the review is positive
pos,magic  3  c  sections  need  help  get  started  size  large  size  12  moved  medium  810  medium  really  tight  job  prefer  large  day  day  3  children  6  run  bit  comfortable  things  really  great  believe  know  first  2  c  sections  send  women  home  giving  birth,0.9152,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9152}",the review is positive
neg,wrong  item  shipped  ordered  waist  cincher  specifically  wear  wedding  day  beautiful  sleeveless  dress  unfortunately  shipped  wrong  thing  stuck  big  bulky  hideous  vest  ugly  racerback  straps  definitely  able  wear  dress  worst  part  I  money  even  return  refund  even  though  opened  box  disappointed  company  buyer  beware,-0.926,"{'neg': 0.337, 'neu': 0.558, 'pos': 0.105, 'compound': -0.926}",the review is negative
neg,sizing  ridiculous  measure  small  small  medium  fit  update  ordered  large  wore  2  days  stretched  much  sure  help  worn  item  cannot  return  large  smaller  began  large  stretch  shrink  waist  andor  hips,0.4215,"{'neg': 0.126, 'neu': 0.672, 'pos': 0.202, 'compound': 0.4215}",the review is positive
neg,sizing  ordered  3x  size  website  said  order  came  lacked  8  inches  closingso  looked  package  says  ordered  5xseemed  extreme  exchanged  iti  impressed  speed  exchange  I  say  thathowever  5x  arrived  big  gaps  falls  3x  mislabeled  5x  mislabeled  I  needing  something  firm  support  post  surgery  careso  really  know  point,0.7239,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.7239}",the review is positive
neg,causes  sweat  makes  unwearable  corset  makes  sweat  like  hog  I  petite  woman  looking  structure  maintain  flat  stomach  doubt  gave  fantastic  shape  flawlessly  discreet  clothes  forced  stop  wearing  end  day  uncomfortable  hot  sweaty  underneath  bad  skin  made  dry  would  gotten  red  irritated  kept  wearing  longer  periods  got  point  pointless  wear  breathing  skin  underneath  I  would  want  take  immediately  never  wore  gave  returned  still  looking  perfect  corset  however  waste  time,-0.7717,"{'neg': 0.221, 'neu': 0.633, 'pos': 0.146, 'compound': -0.7717}",the review is negative
pos,best  money  ever  spent  shape  wear  received  mine  today  squeeled  delight  heard  door  bell  ringing  delivery  immediately  put  take  muscle  powerbut  hard  expecting  get  sucks  tucks  hold  giving  side  eyehe  get  excitement  another  one  many  purchases  ladies  gentlemen  man  looking  buy  gift  lady  love  started  trying  dresses  exclaimed  wow  take  inches  waisti  love  walking  around  apartment  sitting  standing  problems  well  force  sit  upright  greatsmall  waist  fabulous  posturei  complain  loving  squeem,0.985,"{'neg': 0.089, 'neu': 0.538, 'pos': 0.373, 'compound': 0.985}",the review is positive
pos,works  great  bought  3  months  pregnancy  twins  gone  prepregnancy  weight  tummy  still  firm  used  belt  reduced  waist  prepregnancy  size  wearing  8  times,0.6249,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.6249}",the review is positive
neg,great  firstnot  good  time  perhaps  got  bad  one  factory  second  first  34  days  wore  mine  great  advertised  helped  fit  pants  tiny  bit  snug  around  waist  happy  helped  concentrate  posture  although  difficult  turn  car  seat  backing  parking  space  however  put  today  left  side  smooth  nicely  held  support  thing  bone  whatever  right  breast  seems  lost  firmness  entire  right  front  pushing  outwards  making  vertical  bulge  whereas  left  side  still  firm  compressed  know  could  happening,0.9403,"{'neg': 0.09, 'neu': 0.65, 'pos': 0.26, 'compound': 0.9403}",the review is positive
pos,recommend  used  product  19  years  ago  pregancy  working  getting  back  shape  slimmer  waist  within  weeks  tend  sweat  lose  inches  bit  uncomfortable  first  takes  getting  used  would  wear  working  otherwise  would  take  off19  years  later  second  child  looking  waist  cincher  received  began  working  firm  believer  bring  waist  prior  pregnant  workouts  well  made  sturdy  metal  hooks  never  pinch  unhook  exercising  recommend  product,0.2023,"{'neg': 0.079, 'neu': 0.816, 'pos': 0.105, 'compound': 0.2023}",the review is positive
neg,boning  plus  holds  things  together  boning  gets  uncomfortable  would  better  without  also  folds  fold  stomach  want  get  pooch  area  well  would  liked  guess  want  tuck  things  wear  dress  would  good,0.8271,"{'neg': 0.067, 'neu': 0.591, 'pos': 0.342, 'compound': 0.8271}",the review is positive
neg,pass  sizes  run  really  small  flips  even  though  said  would  hooks  hold  dissapointed,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",the review is positive
pos,love  I  training  waist  lose  inches  used  always  buy  fajas  uncomfortable  takes  alot  getting  used  wear  day  throughout  night  one  comfortable  something  squeezing  looks  good  certain  clothes  like  inside  rubbery  material  helps  sweat  speeds  weight  loss  process  plan  buy  next  size  soon  waist  already  shrank  probably  buy  one  straps  next  time  strapless  kinda  push  ur  back  fat  certain  clothes  see  great  product  comfortable  cincher  I  ever  bought,0.9612,"{'neg': 0.085, 'neu': 0.613, 'pos': 0.302, 'compound': 0.9612}",the review is positive
neg,poor  quality  purchased  item  wear  postpartum  love  fits  well  smooths  things  post  baby  major  downside  poor  quality  eye  portion  five  hookeye  closures  come  entirely  know  sizing  issue  followed  sizing  product  select  ones  appear  sewn  well  rest  disappointing  would  otherwise  awesome  product  could  recommend  others  instead  waste  money,0.0589,"{'neg': 0.221, 'neu': 0.554, 'pos': 0.225, 'compound': 0.0589}",the review is positive
pos,squeem  perfect  waist  firm  compression  I  100  satisfied  squeem  magical  lingerie  shapewear  delivers  promises  everything  describes  product  true  reduces  2  inches  instantly  hardly  shows  thin  clothes  let  eat  lot  feel  full  rest  day  recommends  wear  8  hours  even  sleep  thing  get  marks  like  wearing  thigh  socks  gives  smaller  waist  picture  shows  perfect  length  coreI  53  tried  another  brand  long  could  feel  wires  poking  specially  bending  recommend  measure  ordering  brandonce  get  used  one  I  planning  order  extra  firm  compression  gives  back  support  reduce  waist  even,0.9726,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.9726}",the review is positive
neg,best  shaper  would  great  boning  sure  os  pronounced  hour  glass  figure  put  fabric  slides  waist  effect  rubber  band  aroun  waist  forming  bulge  waist  bad  hoped  would  work  based  reviews,0.8658,"{'neg': 0.086, 'neu': 0.59, 'pos': 0.324, 'compound': 0.8658}",the review is positive
neg,works  size  medium  true  size  made  waist  smaller  eat  much  pressure  makes  feel  full  however  cinchers  purpose  like  fact  shorter  lower  back  bit  longer  tummy  buttt  huge  like  made  big  bulges  fat  upper  back  eewww  even  back  fat  defeats  whole  purpose  cover  stomach  fat  gave  back  fat  also  going  price  increase  bought  3  weeks  ago  30  45,0.6908,"{'neg': 0.098, 'neu': 0.72, 'pos': 0.182, 'compound': 0.6908}",the review is positive
pos,squeem  like  came  expecting  really  helped  save  money  compare  stores,0.7165,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.7165}",the review is positive
neg,product  defective  1  day  use  product  overall  comfortable  shape  nicely  problem  1  day  wearing  product  bunched  waist  interior  supports  bent  without  repair  contacted  company  say  correct  size  wear  tank  squeem  help  bunching  help  bent  supports  returned  product,0.875,"{'neg': 0.109, 'neu': 0.566, 'pos': 0.324, 'compound': 0.875}",the review is positive
pos,great  buy  baby  2  knew  wanted  try  binding  form  getting  tummy  back  soon  possible  glad  bought  squeem  really  cinch  waist  giving  unreal  hourglass  shape  began  wearing  mine  1  week  postpartum  people  could  believe  baby  7  months  postpartum  wear  mine  gym  extra  back  abdominal  support  really  helped  give  old  shape  back  even  seems  nipped  waist,0.9093,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.9093}",the review is positive
neg,nonono  vest  squeem  absolutely  love  waist  cincher  I  going  say  buy  alot  women  shaped  differenti  got  yesterday  I  sending  back  fit  well  back  fat  overlapsed  top  cincher  attractive  know  enough  back  fat  tried  adjust  pulling  even  help  wear  size  medium  correct  size  give  full  coverage  support  vest  gives  vest  covers  back  fat  everything  still  give  squeem  thumbs  though,0.9531,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.9531}",the review is positive
pos,go  wrong  item  recently  purchased  power  cotton  rubber  waist  cincher  loved  much  thought  I  would  give  one  try  well  far  smell  faint  washing  prior  use  putting  plenty  dryer  sheets  help  smell  diminish  pretty  quickly  fit  nice  comfortable  solid  black  like  would  assume  prepare  charcoal  blackgray  color  exterior  interior  rubber  make  sweat  ladies  get  ready  sticky  abdomen  end  day  thing  waist  cincher  back  begins  bunch  make  wrinkles  daysoverall  great  product,0.9779,"{'neg': 0.034, 'neu': 0.624, 'pos': 0.342, 'compound': 0.9779}",the review is positive
neg,would  great  package  says  goes  lower  belly  bust  short  woman  reach  ribs  leaving  two  huge  rolls  fat  front  back  takes  great  love  long  enough  wear  anywhere,0.9274,"{'neg': 0.058, 'neu': 0.526, 'pos': 0.416, 'compound': 0.9274}",the review is positive
neg,works  uncomfortable  held  tummy  tried  way  stiffthe  boning  hooks  showed  could  even  wear  inside  tshirt  tough  wear  scared  pinching  wearing,-0.7184,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.7184}",the review is negative
neg,major  let  bought  product  based  positive  reviews  wish  bought  waist  cincher  bottom  cincher  ends  weird  triangle  goes  4  inches  thigh  bottom  wrinkles  looks  ugly  extremely  visible  normal  tshirt  looks  terrible  sit  wearing  looks  decent  barely  standing  might  wear  ever  need  sit  length  way  goes  4  inches  thigh  inch  armpits  I  53  weight  125  lbs  looks  terrible  I  sending  back  day  delivered  save  money,-0.1779,"{'neg': 0.146, 'neu': 0.73, 'pos': 0.124, 'compound': -0.1779}",the review is negative
pos,awsome  really  life  saver  comes  go  nice  party  try  look  spectacular  especially  give  birth  7  months  ago  I  still  try  work  pounds  belly  left  really  recomended  money  well  spend,0.7823,"{'neg': 0.0, 'neu': 0.768, 'pos': 0.232, 'compound': 0.7823}",the review is positive
neg,worth  bought  pink  rubber  squeem  seperate  cotton  cloth  worked  well  wonder  dint  buy  ended  product  hurts  left  hip  got  scars  left  hip,-0.0258,"{'neg': 0.119, 'neu': 0.728, 'pos': 0.153, 'compound': -0.0258}",the review is negative
pos,great  therapeutically  well  great  fashion  two  reasons  purchase  product  one  spine  difficulties  thanks  severe  injury  many  years  ago  pure  vanity  surpassed  expectations  reasons  ever  comfortable  makes  look  great  feel  beautiful  cannot  express  words  great  product,0.9288,"{'neg': 0.212, 'neu': 0.381, 'pos': 0.406, 'compound': 0.9288}",the review is positive
neg,much  product  shown  stock  took  almost  month  ship  instead  sending  next  day  compensate  sent  regular  mail  took  another  week  receive  happy  customer  service,0.5719,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}",the review is positive
neg,burn  rubber  went  squeem  chart  waist  measurements  find  correct  size  suprise  waist  cincher  fit  warning  cannot  return  refund  merchandise  creditexchange  also  cincher  smelled  like  burnt  rubber  bulky  visible  clothing  cannot  wear  tight  fitting  clothing,0.3818,"{'neg': 0.062, 'neu': 0.807, 'pos': 0.13, 'compound': 0.3818}",the review is positive
neg,worth  price  bought  slim  tummy  bridesmaid  dress  first  smelled  horrific  still  stunk  like  rubber  washing  second  almost  nothing  slim  even  though  bought  suggested  size  third  half  hour  wearing  absorbing  sweat  making  feel  clammy  uncomfortable  extremely  uncomfortable  sit  boning  showed  relatively  thick  cotton  dress  abandoned  completely  felt  much  better,-0.8372,"{'neg': 0.246, 'neu': 0.634, 'pos': 0.12, 'compound': -0.8372}",the review is negative
neg,torture  tightwanted  help  get  back  shape  baby  could  even  close  whole  thingreturned  soon  possible,-0.296,"{'neg': 0.21, 'neu': 0.645, 'pos': 0.145, 'compound': -0.296}",the review is negative
neg,squeem  product  states  inches  removed  30  days  use  worn  item  everyday  least  12  hrs  per  day  seen  kind  differencefor  price  item  disappointing  advertises  comply,-0.25,"{'neg': 0.181, 'neu': 0.705, 'pos': 0.114, 'compound': -0.25}",the review is negative
pos,I  impressed  far  got  mine  today  put  right  box  like  said  takes  minutes  get  used  I  wearing  5  hours  love  covers  everything  needs  covered  longwaisted  stays  put  love  comfortable  makes  waist  look  great  flattens  stomach  pooch  comfortable  enough  sit  best  instant  posture  makeover  easing  lower  back  pain  providing  support  I  looking  forward  wearing  long  time  already  foresee  black  one  future  wonder  wear  runs  hmmm  also  size  31  inch  waist  medium  fits  perfect  first  loops  take  measurements  order  hopefully  lose  weight  runningtraining  program  cinch  tighter  loops  get  little  use  well  I  get  size  small  love,0.9897,"{'neg': 0.062, 'neu': 0.587, 'pos': 0.351, 'compound': 0.9897}",the review is positive
pos,everyone  really  excited  try  however  everyone  flat  stomach  flabby  love  handles  thought  would  hold  everything  worked  feels  great  look  mirror  pooch  front  takes  extra  sides  puts  front  think  would  rather  love  handles  like  way  feels  back  support  great  wear  baggy  shirts  exactly  bought  well  still  gave  4  stars  still  working  thought  would,0.979,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.979}",the review is positive
pos,squeem  combination  scream  squeeze  first  ordered  size  xl  big  returned  bought  l  first  couple  wearings  difficult  product  becomes  slightly  stretched  begins  conform  slightly  body  wear  stretchy  tube  underneath  sort  like  top  part  panty  hose  try  wear  standing  walking  around  comfortable  wear  sitting  think  would  comfortable  one  inch  shorter  think  torso  shorter  think  helping  need  wear  hours  thinking  wearing  sleep  rather  daytime  tried  yet  product  well  made,0.9001,"{'neg': 0.065, 'neu': 0.709, 'pos': 0.226, 'compound': 0.9001}",the review is positive
pos,excelent  product  product  said  description  waist  got  smaller  stand  hours  withoutfeeling  pain  back  work  requires  lot  lifting  product  help  protect  back  love  second  buy  price  also  good  first  one  got  cost  55  time  paid  36,0.8442,"{'neg': 0.072, 'neu': 0.656, 'pos': 0.271, 'compound': 0.8442}",the review is positive
neg,hard  put  shape  wear  difficult  put  see  seams  clothes  hard  bend  especially  school  teacher  would  definitely  like  try  brooke  burkes  belly  taut  instead  old  school  shapewear,0.2263,"{'neg': 0.168, 'neu': 0.667, 'pos': 0.165, 'compound': 0.2263}",the review is positive
neg,everybody  rave  product  sucksit  completely  suck  2  days  able  wear  boning  snapped  half  compress  pretty  tight  many  people  noted  hell  get  first  timei  liked  body  suit  rubber  outside  would  keep  shirt  sliding  upbutthis  garment1  rides  move  lot  eventually  slide  waist2  leaves  huge  crease  skin  waist  hurts3  makes  look  like  sausage  sit  visually  divides  belly  half  sitas  said  wore  twice  first  time  wore  half  hour  second  time  worn  several  hours  boning  snapped  half  poking  side  ouch  returning,-0.0498,"{'neg': 0.111, 'neu': 0.768, 'pos': 0.12, 'compound': -0.0498}",the review is negative
neg,uncomfortable  really  easy  put  squeem  could  wait  get  tight  anything  problem  stood  straight  bunched  hipmid  back  area  pinched  skin  painful  matter  positioned  would  bunch  really  disappointed  since  waste  50,-0.8578,"{'neg': 0.35, 'neu': 0.502, 'pos': 0.148, 'compound': -0.8578}",the review is negative
neg,great  idea  poor  design  shapewear  best  I  regarding  easiness  wear  puton  great  job  keeping  postpregnancy  flabby  belly  control  however  2  months  daily  use  metal  gives  support  coming  fabric  seems  metal  rubbing  fabric  thins  enough  come  wish  better  designed  support  binder  otherwise  awesome  good  looking  lingerie  buy  expect  2  months  wearing  without  problems,0.9851,"{'neg': 0.04, 'neu': 0.51, 'pos': 0.45, 'compound': 0.9851}",the review is positive
pos,best  shapewear  best  shapewear  says  everyone  ask  look  small  bought  3  friends  loveit,0.91,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.91}",the review is positive
neg,waste  time  really  wanted  item  work  everybody  seemed  love  hold  anything  gave  back  boobs  waste  money,-0.1027,"{'neg': 0.246, 'neu': 0.57, 'pos': 0.184, 'compound': -0.1027}",the review is negative
neg,ok  ordered  thought  would  allow  wear  clothes  able  weight  gaini  woman  size  40d  breasts  wear  large  tops  wear  size  8  pants  weight  140lbs  suppose  clinch  waist  give  nice  looking  figure  well  hug  waist  also  gave  muffin  top  shape  woman  wants  looked  better  without  wearing  folds  folds  creating  bigger  fold  top  body  would  say  item  extremely  skinny  female  small  breasts  hips  ass  woman  large  breast  hips  ass  women  going  postpregnancy  either  product  suppose  make  feel  good  failed,0.9136,"{'neg': 0.104, 'neu': 0.624, 'pos': 0.272, 'compound': 0.9136}",the review is positive
neg,worth  pain  causes  squeem  shapewear  definitely  job  sucking  however  found  rods  painfully  poked  side  ultimately  resulted  wound  worth  pain,-0.6705,"{'neg': 0.339, 'neu': 0.441, 'pos': 0.22, 'compound': -0.6705}",the review is negative
pos,love  supposed  making  look  slimmer  waist  area  grandmother  even  notice  even  know  bought  really  makes  look  smaller  area  body  would  likely  buy  another  one  next  time  small  medium,0.6369,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6369}",the review is positive
neg,disappointed  think  case  expectations  high  encouraged  great  reviews  product  really  expecting  miracle  wearing  twice  stretched  first  thought  perhaps  would  regain  shape  hours  nope  better  cheap  fashion  corset  smooth  things  less  bulging  clothes  looking  real  waist  trainer  something  would  go  tight  stay  tight  considering  found  product  searched  specifically  waist  trainer  would  say  claims  product  misleading  shapewear  cincher  trainer,0.5381,"{'neg': 0.117, 'neu': 0.73, 'pos': 0.153, 'compound': 0.5381}",the review is positive
neg,itchy  washed  used  first  time  next  day  wore  found  skin  itchy  place  stomach  feel  heat  body  trapped,-0.765,"{'neg': 0.352, 'neu': 0.648, 'pos': 0.0, 'compound': -0.765}",the review is negative
pos,love  realy  love  shape  wear  got  one  one  daughter  notice  big  difference,0.8555,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.8555}",the review is positive
pos,wow  ow  smell  using  3  weeks  seen  difference  measurements  posture  definitely  improved  also  lost  6  pounds  likely  due  combination  diet  exercise  also  wearing  corset  least  4  days  week  9  hours  timei  59  150  pounds  bought  size  small  fits  super  tight  look  forward  eventually  going  second  hooksmy  complaint  smell  smells  like  rubber  hope  one  around  really  notices  notice  wear  wrap  around  midsection  underneath  day  smell  still  gets  stays  skinotherwise  construction  super  sturdy  anticipate  needed  one  long  time  hopefully  smell  fade  hand  washes,0.9756,"{'neg': 0.044, 'neu': 0.678, 'pos': 0.278, 'compound': 0.9756}",the review is positive
pos,squeem  pretty  good  2829  inch  waist  normally  started  size  small  xs  seemed  bit  smaller  described  definitely  gets  job  done  cinching  waist,0.8316,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.8316}",the review is positive
pos,snug  fit  great  product  giving  snug  fitit  become  uncomfortable  around  waist  line  worn  long  really  like  item  big  issue  fact  see  snaps  clothingso  suggest  wearing  tight  fitting  dress  shirt  everyone  know  secret,0.7902,"{'neg': 0.113, 'neu': 0.61, 'pos': 0.277, 'compound': 0.7902}",the review is positive
neg,poor  quality  lousy  customer  service  squeem  great  idea  quality  second  rate  customer  service  worse  useless  I  would  owned  mine  4  weeks  worn  hours  day  noticed  seam  coming  unstitched  threads  frayed  unstitching  seamcontacting  customer  service  exercise  futility  asked  pictures  damage  failed  respond  pictures  attempts  contact  themfor  costs  needs  last  longer  4  weeks,-0.9442,"{'neg': 0.31, 'neu': 0.63, 'pos': 0.06, 'compound': -0.9442}",the review is negative
neg,trash  goes  hello  woman  nearing  60s  waist  certainly  getting  smaller  purchased  product  hopes  would  shrink  evergrowing  belly  accommodate  girth  bought  squeem  magical  lingerie  shapewear  xxxxxlarge  largest  size  available  well  heres  bit  magic  ya  sisters  second  snapped  first  two  hooks  together  tightness  unbearable  felt  like  squeezing  waist  fat  straight  giant  ass  fortunately  discomfort  last  long  since  hooks  flew  therefore  ruined  squeem  altogether  things  need  come  larger  sizes  even  worthy  1  star  worthy  steaming  diarrhea,0.7269,"{'neg': 0.105, 'neu': 0.701, 'pos': 0.195, 'compound': 0.7269}",the review is positive
pos,sturdy  item  sturdy  holds  belly  area  better  another  softer  belt  measurements  seem  true  size  two  rows  hooks  adjust  lose  weightthe  negative  points  item  smells  badly  rubber  new  must  washed  wearing  rubber  make  sweat  minor  complaints  want  look  good  evening  belt  also  helps  sit  straight  think  good  back  well  front,0.6369,"{'neg': 0.178, 'neu': 0.539, 'pos': 0.283, 'compound': 0.6369}",the review is positive
neg,worked  5  days  broke  liked  pulled  everything  felt  fantastic  2  hours  really  flattens  tummy  area  really  want  see  hooks  threw  clothes  felt  like  ruined  also  keep  pulling  bunches  back  really  smells  like  rubber  5  6  days  one  bones  inside  broke  stabbing  side  really  hurt  would  recommend  product,0.3903,"{'neg': 0.189, 'neu': 0.566, 'pos': 0.245, 'compound': 0.3903}",the review is positive
pos,job  recommend  itit  really  slim  waist  line  clearly  cleanlyhope  could  buy  beige  color  could  little  cheaper,0.6369,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.6369}",the review is positive
pos,squeem  love  product  wear  cardio  help  weight  loss  true  size,0.8126,"{'neg': 0.128, 'neu': 0.333, 'pos': 0.539, 'compound': 0.8126}",the review is positive
pos,far  good  I  worn  day  far  love  still  little  bit  tummy  birth  son  8  months  ago  really  holds  comfortable  think  shows  clothes  highly  recommend,0.9056,"{'neg': 0.063, 'neu': 0.548, 'pos': 0.389, 'compound': 0.9056}",the review is positive
pos,makes  look  like  perfect  hourglass  figure  love  product  makes  look  clothes  shapes  perfect  hourglass  know  claim  permanantley  reduces  waist  30  days  true  long  complaints  little  short  still  small  bulge  top  vthe  back  think  may  stretching  wear  oppossed  shrinking  overall  best  shapewear  ever  purchased  love  would  recommend  anyone,0.9796,"{'neg': 0.039, 'neu': 0.534, 'pos': 0.427, 'compound': 0.9796}",the review is positive
pos,simple  quick  fix  bought  product  slim  waist  really  big  expectations  figured  I  would  wear  clothes  defined  shape  I  wearing  month  already  I  seen  waist  go  2  inches  wear  day  work  700  till  300  fit  snug  beginning  one  week  go  tighter  hooks  even  big  may  need  buy  small  actually  like  wearing  recommend  wearing  tank  top  start  press  skin  kind  make  sore  hence  4  star  rating  I  happy  product  price  works  better  spanx,0.9413,"{'neg': 0.029, 'neu': 0.743, 'pos': 0.228, 'compound': 0.9413}",the review is positive
pos,must  must  desire  smooth  look  shirts  dresses  also  offers  great  support  back  perfect  everyday  wear,0.9217,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.9217}",the review is positive
pos,squeem  waist  cincher  squeem  waist  cincher  great  three  weeks  exsactly  says  wire  supports  squeem  started  come  wire  broke  side  squeem  started  crease  waist  stretch  turning  scream  would  say  get  product  best  buy  two  could  switch  would  damage  fast  three  weeks  happy  going  buy  time  I  get  two,0.7783,"{'neg': 0.138, 'neu': 0.633, 'pos': 0.229, 'compound': 0.7783}",the review is positive
neg,impressed  much  slim  midsection  pretty  much  push  everything  top  making  breasts  back  look  much  wider  continue  wear  around  house  loose  clothesjackets,0.7003,"{'neg': 0.084, 'neu': 0.62, 'pos': 0.296, 'compound': 0.7003}",the review is positive
pos,squeeeeeze  clothes  really  liked  squeem  I  petite  person  love  handles  need  hide  I  wearing  tight  clothes  problem  boning  feel  ribs  tight,0.5984,"{'neg': 0.153, 'neu': 0.592, 'pos': 0.254, 'compound': 0.5984}",the review is positive
pos,love  works  really  well  used  help  get  abdominal  wall  back  together  9  months  postpartum  still  bit  separated  definitely  helped  wish  knew  sooner  also  helps  support  back  picking  child  good  reminder  keep  weak  abs  pulled  great  wear  exercise  reminder  keep  abs  strengthen  correctly  inward  also  looks  hot  sometimes  wear  wear  tank  top  underneath  suggested  reviews  time  suggest  getting  seamless  tanktops  otherwise  irritation  may  occur  27  waist  pregnancy  30  waist  bought  size  medium  28  could  probably  get  next  size  really  wanted,0.9725,"{'neg': 0.06, 'neu': 0.637, 'pos': 0.303, 'compound': 0.9725}",the review is positive
pos,good  product  read  reviews  product  purchased  ardyss  wearer  brand  one  piece  cake  purchased  small  need  extra  small  wear  day  comfortably  feel  slight  discomfort  beginning  feel  working  thing  like  strapless  worn  almost  type  top  body  hugging  tops  excluded  course  recommend  want  go  extra  sexy  night  town,0.9315,"{'neg': 0.113, 'neu': 0.523, 'pos': 0.365, 'compound': 0.9315}",the review is positive
neg,waste  money  product  worked  fine  first  day  work  described  advert  I  never  sore  side  entire  life  cannot  wear  2h  product  delivery  system  also  misleading  choose  58  days  delivery  placed  order  product  delivered  month  later  made  even  annoyed  fact  pay  post  charges  apparently  sender  use  correct  stamp  pay  full  charge,-0.7958,"{'neg': 0.224, 'neu': 0.708, 'pos': 0.068, 'compound': -0.7958}",the review is negative
neg,got  burned  hours  wearing  first  day  8  hours  wearing  hurt  bad  skin  torned  itched  swell  deep  red  tried  wear  side  hours  got  deep  burned  right  left  belly  skin  torned  swell  bleeding  lot  cross  cut  skin  itched  week  looked  like  beaten  skin  diseasei  scared  dead  look  know  got  used  something  like  get  bad  thing  rubber  hurt,-0.9678,"{'neg': 0.341, 'neu': 0.593, 'pos': 0.066, 'compound': -0.9678}",the review is negative
neg,fit  according  size  chart  box  size  small  waistline  2831my  waist  28  got  smallit  even  come  close  able  close  claspmaybe  terribly  disappointed,-0.6369,"{'neg': 0.246, 'neu': 0.662, 'pos': 0.092, 'compound': -0.6369}",the review is negative
neg,bulky  feels  gross  worth  ordering  read  bellywrapping  csection  bought  couple  compression  tanktops  walmart  worked  nicely  wanted  something  without  straps  something  compression  purchased  squeem  perfect  waist  amazon  reading  rave  reviews  received  tried  felt  disgusting  skin  uncomfortable  totally  noticeable  even  without  supertight  thin  shirt  especially  sat  seams  boning  noticeable  rubber  makes  clothes  catch  stick  really  weird  way  like  something  would  stick  really  sweaty  wore  corsets  years  far  grossest  feeling  least  comfortable  thing  ever  put  body  returned  immediately,-0.5317,"{'neg': 0.179, 'neu': 0.668, 'pos': 0.153, 'compound': -0.5317}",the review is negative
neg,caused  damage  stomach  muscles  felt  great  dug  waist  sitting  causing  damage  surgical  site  I  pain  without,-0.6808,"{'neg': 0.376, 'neu': 0.465, 'pos': 0.159, 'compound': -0.6808}",the review is negative
pos,great  product  needed  get  headed  back  toward  prepregnancy  waist  bought  xl  probably  could  fit  large  looking  size  soon,0.765,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.765}",the review is positive
pos,great  product  great  fit  exactly  suppose  plan  buy  different  colors  sent  good  order,0.9274,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.9274}",the review is positive
pos,love  everything  advertised  I  going  get  another  one  got  many  compliments  party  wore  made  outfit  look  really  great,0.9324,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.9324}",the review is positive
pos,good  product  awesome  hide  secrets  would  recommend  product  women  men  buy  product,0.8316,"{'neg': 0.089, 'neu': 0.417, 'pos': 0.495, 'compound': 0.8316}",the review is positive
pos,worked  thought  going  fit  44  currently  ordered  xl  like  much,0.6124,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.6124}",the review is positive
neg,expected  product  expected  returned  tight  sizing  misleading  I  stick  spanx,-0.4019,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}",the review is negative
neg,small  usually  size  xs  girdles  small  fit  true  size  return  back  amazon,0.7184,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.7184}",the review is positive
